date,state,county,deaths,rank
2020-03-08,Virginia,Fairfax,0,1
2020-03-08,Virginia,other,0,4
2020-03-08,Louisiana,other,0,4
2020-03-08,Louisiana,Jefferson,0,2
2020-03-08,Louisiana,Orleans,1,1
2020-03-08,Louisiana,other,0,100
2020-03-08,Louisiana,other,0,5
2020-03-08,Minnesota,other,0,100
2020-03-08,Minnesota,Hennepin,0,1
2020-03-08,Tennessee,other,0,4
2020-03-08,Tennessee,Shelby,0,1
2020-03-08,Tennessee,other,0,100
2020-03-08,Tennessee,Davidson,0,2
2020-03-08,Wisconsin,Milwaukee,0,1
2020-03-08,Wisconsin,other,0,100
2020-03-08,California,other,3,100
2020-03-08,California,Los Angeles,1,1
2020-03-08,New Jersey,other,0,100
2020-03-08,New Jersey,Bergen,1,2
2020-03-08,New Jersey,Essex,0,1
2020-03-08,New Jersey,Hudson,0,3
2020-03-08,New Jersey,other,0,5
2020-03-08,New Jersey,other,1,9
2020-03-08,New Jersey,other,0,8
2020-03-08,New Jersey,other,0,7
2020-03-08,New Jersey,other,0,6
2020-03-08,New Jersey,other,0,4
2020-03-08,New Mexico,Bernalillo,0,3
2020-03-08,New Mexico,other,0,100
2020-03-08,Washington,other,1,100
2020-03-08,Washington,King,20,1
2020-03-08,Washington,Snohomish,3,2
2020-03-08,Connecticut,Fairfield,0,1
2020-03-08,Connecticut,other,0,100
2020-03-08,Mississippi,other,0,100
2020-03-08,Mississippi,Forrest,0,2
2020-03-08,Mississippi,other,0,5
2020-03-08,Mississippi,Pearl River,0,2
2020-03-08,Puerto Rico,Unknown,0,1
2020-03-08,North Dakota,other,0,100
2020-03-08,Pennsylvania,other,0,4
2020-03-08,Pennsylvania,other,0,6
2020-03-08,Pennsylvania,other,0,100
2020-03-08,Pennsylvania,Delaware,0,3
2020-03-08,Pennsylvania,Montgomery,0,2
2020-03-08,Pennsylvania,Philadelphia,0,1
2020-03-08,Rhode Island,other,0,100
2020-03-08,South Dakota,other,0,100
2020-03-08,South Dakota,Minnehaha,0,1
2020-03-08,Massachusetts,other,0,100
2020-03-08,Massachusetts,Essex,0,3
2020-03-08,Massachusetts,Middlesex,0,1
2020-03-08,Massachusetts,other,0,4
2020-03-08,Massachusetts,Suffolk,0,2
2020-03-08,Massachusetts,other,0,5
2020-03-08,New Hampshire,other,0,100
2020-03-08,New Hampshire,Rockingham,0,2
2020-03-08,North Carolina,other,0,100
2020-03-08,North Carolina,other,0,6
2020-03-08,North Carolina,other,0,16
2020-03-08,North Carolina,other,0,9
2020-03-08,North Carolina,other,0,8
2020-03-08,North Carolina,other,0,11
2020-03-08,North Carolina,Mecklenburg,0,1
2020-03-08,South Carolina,other,0,100
2020-03-08,South Carolina,other,0,9
2020-03-08,District of Columbia,District of Columbia,0,1
2020-03-15,Guam,Unknown,0,1
2020-03-15,Iowa,other,0,100
2020-03-15,Iowa,Black Hawk,0,3
2020-03-15,Iowa,Muscatine,0,3
2020-03-15,Iowa,Polk,0,1
2020-03-15,Ohio,other,0,100
2020-03-15,Ohio,other,0,11
2020-03-15,Ohio,Cuyahoga,1,2
2020-03-15,Ohio,Franklin,0,3
2020-03-15,Ohio,other,0,5
2020-03-15,Ohio,other,0,8
2020-03-15,Ohio,Lucas,1,1
2020-03-15,Ohio,other,0,4
2020-03-15,Ohio,other,0,7
2020-03-15,Ohio,other,0,6
2020-03-15,Utah,other,0,100
2020-03-15,Utah,Salt Lake,0,1
2020-03-15,Idaho,Ada,0,1
2020-03-15,Idaho,other,0,100
2020-03-15,Idaho,other,0,5
2020-03-15,Idaho,other,0,4
2020-03-15,Idaho,Twin Falls,0,3
2020-03-15,Maine,other,0,100
2020-03-15,Maine,Cumberland,0,1
2020-03-15,Maine,Kennebec,0,3
2020-03-15,Maine,York,0,3
2020-03-15,Texas,other,1,100
2020-03-15,Texas,other,0,7
2020-03-15,Texas,other,0,8
2020-03-15,Texas,Tarrant,1,3
2020-03-15,Texas,other,0,4
2020-03-15,Texas,Harris,1,1
2020-03-15,Texas,other,0,5
2020-03-15,Texas,other,0,6
2020-03-15,Texas,Dallas,1,2
2020-03-15,Alaska,Fairbanks North Star Borough,0,2
2020-03-15,Alaska,Kenai Peninsula Borough,0,3
2020-03-15,Alaska,other,0,100
2020-03-15,Alaska,Anchorage,0,1
2020-03-15,Hawaii,other,0,100
2020-03-15,Hawaii,Honolulu,0,1
2020-03-15,Hawaii,Maui,0,2
2020-03-15,Kansas,other,0,100
2020-03-15,Kansas,Johnson,1,2
2020-03-15,Kansas,Sedgwick,0,3
2020-03-15,Kansas,Wyandotte,0,1
2020-03-15,Nevada,other,0,100
2020-03-15,Nevada,Clark,2,1
2020-03-15,Oregon,other,0,100
2020-03-15,Oregon,Marion,1,2
2020-03-15,Oregon,Multnomah,0,1
2020-03-15,Oregon,Washington,1,3
2020-03-15,Alabama,other,0,100
2020-03-15,Alabama,Jefferson,0,2
2020-03-15,Alabama,other,0,4
2020-03-15,Alabama,Mobile,0,1
2020-03-15,Alabama,other,0,5
2020-03-15,Arizona,Coconino,0,3
2020-03-15,Arizona,other,0,100
2020-03-15,Arizona,Maricopa,1,1
2020-03-15,Arizona,Pima,0,2
2020-03-15,Florida,other,5,100
2020-03-15,Florida,Miami-Dade,0,1
2020-03-15,Florida,Palm Beach,0,3
2020-03-15,Florida,Broward,3,2
2020-03-15,Georgia,other,4,100
2020-03-15,Georgia,other,0,7
2020-03-15,Georgia,Cobb,4,3
2020-03-15,Georgia,other,0,5
2020-03-15,Georgia,Dougherty,6,2
2020-03-15,Georgia,Fulton,3,1
2020-03-15,Georgia,other,1,4
2020-03-15,Georgia,other,0,6
2020-03-15,Georgia,other,0,9
2020-03-15,Indiana,other,1,100
2020-03-15,Indiana,Lake,0,2
2020-03-15,Indiana,Marion,2,1
2020-03-15,Montana,other,0,100
2020-03-15,Montana,Flathead,0,2
2020-03-15,Montana,Yellowstone,0,2
2020-03-15,Vermont,other,1,100
2020-03-15,Vermont,Chittenden,1,1
2020-03-15,Wyoming,other,0,100
2020-03-15,Wyoming,Fremont,0,1
2020-03-15,Wyoming,Laramie,0,2
2020-03-15,Wyoming,Teton,0,2
2020-03-15,Arkansas,other,0,100
2020-03-15,Arkansas,other,0,5
2020-03-15,Arkansas,other,0,4
2020-03-15,Arkansas,Jefferson,0,2
2020-03-15,Arkansas,Lincoln,0,3
2020-03-15,Arkansas,Pulaski,0,1
2020-03-15,Colorado,other,0,5
2020-03-15,Colorado,Arapahoe,0,2
2020-03-15,Colorado,other,0,7
2020-03-15,Colorado,other,1,100
2020-03-15,Colorado,Denver,0,1
2020-03-15,Colorado,other,1,6
2020-03-15,Colorado,other,0,4
2020-03-15,Colorado,Weld,1,3
2020-03-15,Delaware,Kent,0,3
2020-03-15,Delaware,New Castle,0,1
2020-03-15,Delaware,Sussex,0,2
2020-03-15,Illinois,other,2,100
2020-03-15,Illinois,Cook,4,1
2020-03-15,Kentucky,other,1,100
2020-03-15,Kentucky,Jefferson,1,1
2020-03-15,Kentucky,Kenton,0,2
2020-03-15,Maryland,other,0,4
2020-03-15,Maryland,other,0,5
2020-03-15,Maryland,Baltimore,1,3
2020-03-15,Maryland,other,0,100
2020-03-15,Maryland,Montgomery,1,1
2020-03-15,Maryland,Prince George's,1,2
2020-03-15,Michigan,other,1,100
2020-03-15,Michigan,Oakland,1,2
2020-03-15,Michigan,Wayne,4,1
2020-03-15,Michigan,Macomb,0,3
2020-03-15,Missouri,other,2,100
2020-03-15,Missouri,St. Louis,1,1
2020-03-15,Missouri,St. Louis city,0,2
2020-03-15,Nebraska,other,0,5
2020-03-15,Nebraska,other,0,100
2020-03-15,Nebraska,Douglas,0,2
2020-03-15,New York,New York City,74,1
2020-03-15,New York,other,19,100
2020-03-15,Oklahoma,other,0,100
2020-03-15,Oklahoma,Cleveland,0,3
2020-03-15,Oklahoma,Oklahoma,0,1
2020-03-15,Oklahoma,Tulsa,1,2
2020-03-15,Oklahoma,other,0,4
2020-03-15,Virginia,other,1,100
2020-03-15,Virginia,Arlington,0,3
2020-03-15,Virginia,Fairfax,1,1
2020-03-15,Virginia,Henrico,0,2
2020-03-15,Virginia,other,0,4
2020-03-15,Louisiana,other,0,100
2020-03-15,Louisiana,other,0,4
2020-03-15,Louisiana,East Baton Rouge,0,3
2020-03-15,Louisiana,Jefferson,2,2
2020-03-15,Louisiana,Orleans,12,1
2020-03-15,Louisiana,other,0,5
2020-03-15,Minnesota,other,1,100
2020-03-15,Minnesota,Hennepin,0,1
2020-03-15,Tennessee,other,0,100
2020-03-15,Tennessee,other,0,4
2020-03-15,Tennessee,Shelby,0,1
2020-03-15,Tennessee,Sumner,0,3
2020-03-15,Tennessee,Davidson,2,2
2020-03-15,Wisconsin,other,1,100
2020-03-15,Wisconsin,Milwaukee,2,1
2020-03-15,California,other,20,100
2020-03-15,California,Los Angeles,3,1
2020-03-15,New Jersey,other,0,100
2020-03-15,New Jersey,Bergen,8,2
2020-03-15,New Jersey,Essex,4,1
2020-03-15,New Jersey,Hudson,0,3
2020-03-15,New Jersey,other,0,10
2020-03-15,New Jersey,other,0,5
2020-03-15,New Jersey,other,1,9
2020-03-15,New Jersey,other,1,8
2020-03-15,New Jersey,other,0,7
2020-03-15,New Jersey,other,0,6
2020-03-15,New Jersey,other,0,11
2020-03-15,New Jersey,other,0,4
2020-03-15,New Mexico,Bernalillo,0,3
2020-03-15,New Mexico,other,0,100
2020-03-15,New Mexico,McKinley,0,2
2020-03-15,New Mexico,other,0,4
2020-03-15,Washington,other,8,100
2020-03-15,Washington,King,40,1
2020-03-15,Washington,Snohomish,6,2
2020-03-15,Connecticut,Fairfield,4,1
2020-03-15,Connecticut,Hartford,0,2
2020-03-15,Connecticut,other,1,100
2020-03-15,Connecticut,New Haven,0,3
2020-03-15,Mississippi,other,0,100
2020-03-15,Mississippi,other,0,11
2020-03-15,Mississippi,other,1,16
2020-03-15,Mississippi,Forrest,0,2
2020-03-15,Mississippi,other,0,6
2020-03-15,Mississippi,other,0,7
2020-03-15,Mississippi,other,0,12
2020-03-15,Mississippi,other,0,5
2020-03-15,Mississippi,other,0,9
2020-03-15,Mississippi,other,0,4
2020-03-15,Mississippi,Pearl River,0,2
2020-03-15,Mississippi,other,0,13
2020-03-15,Puerto Rico,Unknown,1,1
2020-03-15,North Dakota,other,0,100
2020-03-15,North Dakota,Cass,0,1
2020-03-15,Pennsylvania,other,2,100
2020-03-15,Pennsylvania,other,0,7
2020-03-15,Pennsylvania,other,0,4
2020-03-15,Pennsylvania,other,0,6
2020-03-15,Pennsylvania,Delaware,0,3
2020-03-15,Pennsylvania,other,0,5
2020-03-15,Pennsylvania,Montgomery,0,2
2020-03-15,Pennsylvania,Philadelphia,0,1
2020-03-15,Rhode Island,other,0,100
2020-03-15,South Dakota,other,0,100
2020-03-15,South Dakota,Minnehaha,0,1
2020-03-15,Massachusetts,other,0,100
2020-03-15,Massachusetts,other,0,8
2020-03-15,Massachusetts,Essex,0,3
2020-03-15,Massachusetts,other,0,6
2020-03-15,Massachusetts,Middlesex,1,1
2020-03-15,Massachusetts,other,0,4
2020-03-15,Massachusetts,other,0,7
2020-03-15,Massachusetts,Suffolk,1,2
2020-03-15,Massachusetts,other,0,5
2020-03-15,New Hampshire,other,0,100
2020-03-15,New Hampshire,Hillsborough,0,1
2020-03-15,New Hampshire,Rockingham,0,2
2020-03-15,West Virginia,Jackson,0,1
2020-03-15,West Virginia,other,0,100
2020-03-15,West Virginia,Kanawha,0,2
2020-03-15,West Virginia,other,0,5
2020-03-15,North Carolina,other,0,100
2020-03-15,North Carolina,other,0,5
2020-03-15,North Carolina,other,0,7
2020-03-15,North Carolina,other,0,6
2020-03-15,North Carolina,other,0,16
2020-03-15,North Carolina,other,0,9
2020-03-15,North Carolina,other,0,8
2020-03-15,North Carolina,Durham,0,3
2020-03-15,North Carolina,Guilford,0,2
2020-03-15,North Carolina,other,0,12
2020-03-15,North Carolina,other,0,11
2020-03-15,North Carolina,Mecklenburg,0,1
2020-03-15,South Carolina,other,1,100
2020-03-15,South Carolina,other,1,5
2020-03-15,South Carolina,Richland,0,1
2020-03-15,South Carolina,other,0,9
2020-03-15,South Carolina,other,0,7
2020-03-15,South Carolina,other,0,8
2020-03-15,South Carolina,Clarendon,0,3
2020-03-15,South Carolina,other,0,4
2020-03-15,South Carolina,Greenville,0,2
2020-03-15,South Carolina,other,0,6
2020-03-15,Virgin Islands,Unknown,0,1
2020-03-15,District of Columbia,District of Columbia,1,1
2020-03-22,Guam,Unknown,1,1
2020-03-22,Iowa,other,3,100
2020-03-22,Iowa,Black Hawk,0,3
2020-03-22,Iowa,Linn,0,2
2020-03-22,Iowa,Muscatine,0,3
2020-03-22,Iowa,Polk,0,1
2020-03-22,Ohio,other,0,10
2020-03-22,Ohio,other,0,12
2020-03-22,Ohio,other,8,100
2020-03-22,Ohio,other,1,11
2020-03-22,Ohio,Cuyahoga,2,2
2020-03-22,Ohio,Franklin,2,3
2020-03-22,Ohio,other,0,5
2020-03-22,Ohio,other,0,8
2020-03-22,Ohio,Lucas,1,1
2020-03-22,Ohio,other,2,4
2020-03-22,Ohio,other,0,9
2020-03-22,Ohio,other,2,7
2020-03-22,Ohio,other,4,6
2020-03-22,Utah,other,1,100
2020-03-22,Utah,Salt Lake,0,1
2020-03-22,Idaho,Ada,1,1
2020-03-22,Idaho,other,0,100
2020-03-22,Idaho,other,2,5
2020-03-22,Idaho,other,1,4
2020-03-22,Idaho,Nez Perce,1,2
2020-03-22,Idaho,Twin Falls,0,3
2020-03-22,Maine,other,0,100
2020-03-22,Maine,Cumberland,1,1
2020-03-22,Maine,Kennebec,0,3
2020-03-22,Maine,Waldo,0,2
2020-03-22,Maine,York,0,3
2020-03-22,Texas,other,8,100
2020-03-22,Texas,other,0,7
2020-03-22,Texas,other,1,8
2020-03-22,Texas,Tarrant,0,3
2020-03-22,Texas,other,1,4
2020-03-22,Texas,Harris,2,1
2020-03-22,Texas,other,5,5
2020-03-22,Texas,other,0,6
2020-03-22,Texas,Dallas,8,2
2020-03-22,Alaska,Fairbanks North Star Borough,0,2
2020-03-22,Alaska,other,0,100
2020-03-22,Alaska,Kenai Peninsula Borough,0,3
2020-03-22,Alaska,Matanuska-Susitna Borough,0,3
2020-03-22,Alaska,Anchorage,1,1
2020-03-22,Hawaii,other,0,100
2020-03-22,Hawaii,Honolulu,0,1
2020-03-22,Hawaii,Maui,0,2
2020-03-22,Kansas,other,1,100
2020-03-22,Kansas,Johnson,1,2
2020-03-22,Kansas,Sedgwick,0,3
2020-03-22,Kansas,Wyandotte,2,1
2020-03-22,Nevada,other,0,100
2020-03-22,Nevada,Clark,12,1
2020-03-22,Oregon,other,4,100
2020-03-22,Oregon,Marion,2,2
2020-03-22,Oregon,Multnomah,1,1
2020-03-22,Oregon,Washington,2,3
2020-03-22,Alabama,other,3,100
2020-03-22,Alabama,Jefferson,0,2
2020-03-22,Alabama,other,0,4
2020-03-22,Alabama,Mobile,1,1
2020-03-22,Alabama,Tallapoosa,0,3
2020-03-22,Alabama,other,0,5
2020-03-22,Arizona,other,0,100
2020-03-22,Arizona,Coconino,2,3
2020-03-22,Arizona,Maricopa,4,1
2020-03-22,Arizona,Pima,5,2
2020-03-22,Florida,other,28,100
2020-03-22,Florida,Miami-Dade,3,1
2020-03-22,Florida,Palm Beach,6,3
2020-03-22,Florida,Broward,8,2
2020-03-22,Georgia,other,26,100
2020-03-22,Georgia,other,2,7
2020-03-22,Georgia,Cobb,4,3
2020-03-22,Georgia,other,3,5
2020-03-22,Georgia,Dougherty,11,2
2020-03-22,Georgia,Fulton,10,1
2020-03-22,Georgia,other,0,4
2020-03-22,Georgia,other,0,6
2020-03-22,Georgia,other,1,9
2020-03-22,Indiana,other,17,100
2020-03-22,Indiana,Lake,1,2
2020-03-22,Indiana,Marion,8,1
2020-03-22,Montana,other,1,100
2020-03-22,Montana,Cascade,0,2
2020-03-22,Montana,Flathead,0,2
2020-03-22,Montana,Toole,0,1
2020-03-22,Montana,Yellowstone,0,2
2020-03-22,Vermont,other,5,100
2020-03-22,Vermont,Chittenden,5,1
2020-03-22,Wyoming,other,0,100
2020-03-22,Wyoming,Fremont,0,1
2020-03-22,Wyoming,Johnson,0,2
2020-03-22,Wyoming,Laramie,0,2
2020-03-22,Wyoming,Teton,0,2
2020-03-22,Arkansas,other,5,100
2020-03-22,Arkansas,other,0,5
2020-03-22,Arkansas,other,0,4
2020-03-22,Arkansas,Jefferson,0,2
2020-03-22,Arkansas,Lincoln,0,3
2020-03-22,Arkansas,Pulaski,2,1
2020-03-22,Colorado,other,9,100
2020-03-22,Colorado,other,0,5
2020-03-22,Colorado,Arapahoe,3,2
2020-03-22,Colorado,other,1,7
2020-03-22,Colorado,Denver,5,1
2020-03-22,Colorado,other,7,6
2020-03-22,Colorado,other,5,4
2020-03-22,Colorado,Weld,6,3
2020-03-22,Delaware,Kent,2,3
2020-03-22,Delaware,New Castle,2,1
2020-03-22,Delaware,Sussex,1,2
2020-03-22,Illinois,other,20,100
2020-03-22,Illinois,Cook,24,1
2020-03-22,Kentucky,other,1,100
2020-03-22,Kentucky,Hopkins,1,3
2020-03-22,Kentucky,Jefferson,3,1
2020-03-22,Kentucky,Kenton,1,2
2020-03-22,Maryland,other,2,4
2020-03-22,Maryland,other,1,5
2020-03-22,Maryland,Baltimore,0,3
2020-03-22,Maryland,other,2,100
2020-03-22,Maryland,Montgomery,0,1
2020-03-22,Maryland,Prince George's,2,2
2020-03-22,Michigan,other,15,100
2020-03-22,Michigan,Oakland,30,2
2020-03-22,Michigan,Wayne,42,1
2020-03-22,Michigan,Macomb,17,3
2020-03-22,Missouri,other,6,100
2020-03-22,Missouri,St. Louis,1,1
2020-03-22,Missouri,St. Louis city,1,2
2020-03-22,Nebraska,other,0,5
2020-03-22,Nebraska,other,0,100
2020-03-22,Nebraska,Douglas,1,2
2020-03-22,Nebraska,Hall,1,1
2020-03-22,New York,New York City,750,1
2020-03-22,New York,other,90,100
2020-03-22,Oklahoma,other,3,100
2020-03-22,Oklahoma,Cleveland,5,3
2020-03-22,Oklahoma,other,0,6
2020-03-22,Oklahoma,Oklahoma,3,1
2020-03-22,Oklahoma,Tulsa,2,2
2020-03-22,Oklahoma,other,1,5
2020-03-22,Oklahoma,other,0,4
2020-03-22,Virginia,other,3,100
2020-03-22,Virginia,Arlington,0,3
2020-03-22,Virginia,Fairfax,0,1
2020-03-22,Virginia,Henrico,3,2
2020-03-22,Virginia,other,0,4
2020-03-22,Louisiana,other,33,100
2020-03-22,Louisiana,other,2,4
2020-03-22,Louisiana,East Baton Rouge,4,3
2020-03-22,Louisiana,Jefferson,24,2
2020-03-22,Louisiana,Orleans,57,1
2020-03-22,Louisiana,other,2,5
2020-03-22,Minnesota,other,2,100
2020-03-22,Minnesota,Hennepin,2,1
2020-03-22,Tennessee,other,4,100
2020-03-22,Tennessee,other,0,4
2020-03-22,Tennessee,Shelby,0,1
2020-03-22,Tennessee,Sumner,0,3
2020-03-22,Tennessee,Davidson,0,2
2020-03-22,Wisconsin,other,5,100
2020-03-22,Wisconsin,Milwaukee,7,1
2020-03-22,California,other,65,100
2020-03-22,California,Los Angeles,29,1
2020-03-22,New Jersey,other,16,100
2020-03-22,New Jersey,Bergen,26,2
2020-03-22,New Jersey,Essex,16,1
2020-03-22,New Jersey,Hudson,6,3
2020-03-22,New Jersey,other,0,10
2020-03-22,New Jersey,other,14,5
2020-03-22,New Jersey,other,8,9
2020-03-22,New Jersey,other,11,8
2020-03-22,New Jersey,other,9,7
2020-03-22,New Jersey,other,7,6
2020-03-22,New Jersey,other,8,11
2020-03-22,New Jersey,other,10,4
2020-03-22,New Mexico,Bernalillo,1,3
2020-03-22,New Mexico,other,0,100
2020-03-22,New Mexico,McKinley,0,2
2020-03-22,New Mexico,other,0,4
2020-03-22,New Mexico,San Juan,0,1
2020-03-22,Washington,other,22,100
2020-03-22,Washington,King,62,1
2020-03-22,Washington,Snohomish,14,2
2020-03-22,Connecticut,Fairfield,16,1
2020-03-22,Connecticut,Hartford,2,2
2020-03-22,Connecticut,other,4,100
2020-03-22,Connecticut,New Haven,6,3
2020-03-22,Mississippi,other,9,100
2020-03-22,Mississippi,other,0,11
2020-03-22,Mississippi,other,0,16
2020-03-22,Mississippi,other,2,13
2020-03-22,Mississippi,Forrest,0,2
2020-03-22,Mississippi,other,0,6
2020-03-22,Mississippi,other,1,7
2020-03-22,Mississippi,other,0,12
2020-03-22,Mississippi,Lauderdale,0,1
2020-03-22,Mississippi,other,0,5
2020-03-22,Mississippi,other,0,9
2020-03-22,Mississippi,other,0,4
2020-03-22,Mississippi,Pearl River,0,2
2020-03-22,Puerto Rico,Unknown,2,1
2020-03-22,North Dakota,other,0,100
2020-03-22,North Dakota,Cass,1,1
2020-03-22,Pennsylvania,other,17,100
